"id","approver_id","software_id","id","first_name","last_name","id","name","acronym"
1,21,1,21,"Chester","Field",1,"Operating Map of Gastropathy","OMG"
2,23,2,23,"Amanda","Huginkiss",2,"Limited Operating Liability","LOL"
3,24,3,24,"Les","Wynan",3,"Total Mastering of Incisions","TMI"
4,25,4,25,"Tara","Dactyl",4,"Fixed Orthodontics Medical Operations","FOMO"
5,26,5,26,"Claire","Voyant",5,"List of Transactions and Redactions","LOTR"
6,27,6,27,"Will","Tickelu",6,"Northern Ozone & Ocean Biome","NOOB"
7,28,7,28,"Polly","Graff",7,"Alternative Sewage System",
8,29,8,29,"Stan","Dupp",8,"Relational Observation System Limited","ROFL"
9,30,9,30,"Gene","Poole",9,"Fast Family Finder",
10,31,10,31,"Neil","Down",10,"Sustainable Xeriscaping","SuX"
11,32,11,32,"Brock","Lee",11,"World Terrain & Forestry","WTF"
12,33,12,33,"Dot","Matricks",12,"Web Utility Table","WUT"
13,34,13,34,"Goldie","Locke",13,"Data & Utility Heuristics","DUH"
14,35,14,35,"Ally","Katz",14,"Observation (version 1)","OB1"
15,36,15,36,"Leah","Tarde",15,"National Ozone Observatory Bot","NOOB"
16,37,16,37,"Chris","Bacon",16,"Heart Ultrasound Heatmaps","HUH"
17,38,17,38,"Sue","Flay",17,"Free MySQL Logger","FML"
18,39,18,39,"Derry","Yare",18,"Heart, Abdomen, and Head Assessor","HAHA"
19,40,19,40,"Krystal","Ball",19,"Waste Electronic & Wireless Equipmen","WEWE"
20,41,20,41,"Honey","Potts",20,"Biosphere Air and Gas Interpreter",
21,44,23,44,"Filet","Minyon",23,"Storm Water Management",
25,49,28,49,"Justin","Case",28,"Download Urgent Medical Backups","DUMB"
23,47,26,47,"Paige","Turner",26,"Picture Archive and Communication System","PACS"
22,78,24,78,"Robyn","Banks",24,"Planetary Environmental Reference System","PERS"
26,50,29,50,"Crystal","Ball",29,"Pharmaceutical Information Program","PIP"
24,48,27,48,"Jed","Knight",27,"Radiology Information System","RIS"
27,51,30,51,"Al","Dente",30,"Remote Health Checker",
28,51,31,51,"Al","Dente",31,"Remote Stroke Checker",
29,53,32,53,"Biff","Wellington",32,"Chronic Disease Management",
30,54,33,54,"Art","Dekko",33,"Ambulance Schedule System",
31,55,34,55,"Clay","Potts",34,"Care Manager",
32,56,35,56,"Al","Falfa",35,"Lab Information System","LIS"
33,57,36,57,"Frank","Furter",36,"Patient Admitter Tool","PAT"
34,58,37,58,"Harry","Beard",37,"Spillage Locator Tool",
35,59,38,59,"Anna","Conda",38,"Environmental Assessor Tool",
36,60,39,60,"Justin","Thyme",39,"Statistical Analysis System","SAS"
37,61,40,61,"Ollie","Gark",40,"Statistical Package for Social Sciences","SPSS"
38,62,41,62,"Pete","Moss",41,"Cisco WebEx",
39,63,42,63,"Rusty","Foord",42,"Homecare System",
40,64,43,64,"Tom","Foolery",43,"Electronic Medical Record (Viewer)","EMR"
41,65,54,65,"Warren","Peace",54,"eHealthChart",
42,66,55,66,"Linda","Hand",55,"Environmental Home Manager",
43,67,21,67,"Seymore","Butts",21,"Original Record of Landscape and Yard","ORLY"
44,68,56,68,"Lotta","Noyes",56,"Clinical Data Repository","CDR"
